ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_Cells
1	294	212.0	66.0	0	294	8
1	295	138.0	67.0	0	295	11
1	296	174.5	67.0	0	296	10
1	297	202.5	67.0	0	297	8
1	298	252.5	67.0	0	298	9
1	299	142.5	68.0	0	299	11
1	300	154.0	68.5	0	300	12
1	301	219.5	68.0	0	301	8
1	302	132.0	69.0	0	302	11
1	303	139.66666666666666	69.33333333333333	0	303	11
1	304	259.5	69.0	0	304	9
1	305	143.5	70.0	0	305	11
1	306	221.33333333333334	69.66666666666667	0	306	8
1	307	224.0	70.0	0	307	8
1	308	119.5	71.0	0	308	11
1	309	131.0	71.0	0	309	11
1	310	133.5	71.0	0	310	11
1	311	156.5	71.0	0	311	12
1	312	159.0	71.0	0	312	12
1	313	207.5	71.0	0	313	8
1	314	262.5	71.0	0	314	9
1	315	154.2	71.6	0	315	12
1	316	205.0	72.0	0	316	8
1	317	145.0	73.0	0	317	12
1	318	160.0	73.0	0	318	12
1	319	211.66666666666666	73.33333333333333	0	319	8
1	320	220.5	73.0	0	320	8
1	321	261.6666666666667	73.66666666666667	0	321	9
1	322	366.0	73.0	0	322	0
1	323	122.0	74.0	0	323	11
1	324	131.0	74.0	0	324	11
1	325	153.5	73.5	0	325	12
1	326	170.5	74.0	0	326	10
1	327	126.5	75.0	0	327	11
1	328	188.5	75.0	0	328	10
1	329	133.0	76.5	0	329	11
1	330	143.0	76.0	0	330	14
1	331	473.0	76.0	0	331	15
1	332	153.0	77.0	0	332	12
1	333	158.0	77.5	0	333	12
1	334	213.75	76.75	0	334	8
1	335	398.0	77.0	0	335	13
1	336	464.0	77.0	0	336	15
1	337	477.0	77.0	0	337	15
1	338	485.5	77.0	0	338	15
1	339	13.0	78.0	0	339	0
1	340	117.0	78.0	0	340	11
1	341	126.5	78.5	0	341	11
1	342	131.0	78.0	0	342	11
1	343	177.0	78.0	0	343	10
1	344	184.0	78.0	0	344	10
