ImageNumber	ObjectNumber	Children_Cells_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number
1	107	1	496.09822646657574	420.281036834925	0	107
1	108	1	8.101307189542483	423.66993464052285	0	108
1	109	1	221.6082621082621	424.28205128205127	0	109
1	110	1	351.43589743589746	430.50493096646943	0	110
1	111	1	432.3006329113924	437.5886075949367	0	111
1	112	1	466.41885625965995	449.6707882534776	0	112
1	113	1	28.33164983164983	458.1338383838384	0	113
1	114	1	296.4963503649635	461.2007299270073	0	114
1	115	1	338.35853976531945	466.55280312907433	0	115
1	116	1	267.6871794871795	464.71794871794873	0	116
1	117	1	434.8829931972789	478.8544217687075	0	117
1	118	1	364.45360824742266	481.6432989690722	0	118
1	119	1	494.25766871165644	483.3239263803681	0	119
1	120	1	60.54248366013072	492.125116713352	0	120
1	121	1	450.0217391304348	489.1358695652174	0	121
1	122	1	473.0480349344978	493.04366812227073	0	122
1	123	1	405.2869692532943	498.1756954612006	0	123
2	1	1	20.972081218274113	16.65989847715736	0	1
2	2	1	352.0100502512563	11.015075376884422	0	2
2	3	1	228.25245098039215	12.716911764705882	0	3
2	4	1	105.32835820895522	12.925373134328359	0	4
2	5	1	378.90871934604905	18.61307901907357	0	5
2	6	1	158.38585209003216	21.218649517684888	0	6
2	7	1	335.3453815261044	23.305220883534137	0	7
2	8	1	444.20654396728014	30.1799591002045	0	8
2	9	1	137.55442176870747	35.01020408163265	0	9
2	10	1	81.44743935309972	40.544474393531	0	10
2	11	1	162.84195804195804	45.52307692307692	0	11
2	12	1	220.91847826086956	54.57065217391305	0	12
2	13	1	426.33613445378154	56.94621848739496	0	13
2	14	1	299.575	64.63181818181818	0	14
2	15	1	88.06091370558376	69.4517766497462	0	15
2	16	1	351.48406676783003	70.35811836115326	0	16
2	17	1	108.40938166311301	73.02345415778251	0	17
2	18	1	471.43739837398374	72.28617886178861	0	18
2	19	1	425.91750841750843	80.18350168350169	0	19
2	20	1	59.927680798004985	87.24688279301746	0	20
2	21	1	89.66257668711657	87.86503067484662	0	21
2	22	1	347.8467289719626	94.43551401869159	0	22
2	23	1	239.3521657250471	94.70433145009416	0	23
2	24	1	133.26508620689654	103.42456896551724	0	24
2	25	1	260.39811912225707	104.32601880877743	0	25
2	26	1	29.05263157894737	108.02024291497976	0	26
2	27	1	54.755067567567565	109.29898648648648	0	27
2	28	1	151.85611510791367	109.38129496402878	0	28
2	29	1	328.0245901639344	109.00273224043715	0	29
2	30	1	236.3783783783784	113.58558558558559	0	30
2	31	1	499.18968692449357	119.55432780847146	0	31
2	32	1	383.8684971098266	118.57369942196532	0	32
2	33	1	120.31016042780749	121.17647058823529	0	33
2	34	1	193.20666666666668	120.55333333333333	0	34
2	35	1	6.881226053639847	133.49808429118775	0	35
2	36	1	431.72495088408647	133.48722986247543	0	36
2	37	1	242.89779559118236	135.3927855711423	0	37
2	38	1	339.8824626865672	136.11940298507463	0	38
2	39	1	71.54967948717949	147.52884615384616	0	39
2	40	1	257.009900990099	150.30693069306932	0	40
2	41	1	376.72902097902096	149.93706293706293	0	41
2	42	1	296.0609756097561	151.2334494773519	0	42
2	43	1	149.74576271186442	153.57062146892656	0	43
2	44	1	320.0693069306931	159.38118811881188	0	44
2	45	1	35.67956989247312	160.05806451612904	0	45
2	46	1	173.2956298200514	168.2133676092545	0	46
2	47	1	214.20743034055727	168.73839009287926	0	47
2	48	1	340.41779497098645	170.5164410058027	0	48
2	49	1	432.85630498533726	168.4941348973607	0	49
2	50	1	140.9378698224852	179.18639053254438	0	50
2	51	1	89.05639097744361	193.99812030075188	0	51
2	52	1	178.94042553191488	196.0936170212766	0	52
2	53	1	46.897271268057786	198.57784911717496	0	53
2	54	1	324.4634831460674	197.12640449438203	0	54
2	55	1	148.7110266159696	200.15589353612168	0	55
2	56	1	231.39690721649484	207.8762886597938	0	56
2	57	1	311.1169977924945	210.49668874172184	0	57
2	58	1	361.67495559502663	215.09591474245116	0	58
2	59	1	170.03725490196078	214.0843137254902	0	59
2	60	1	262.55721393034827	226.11691542288557	0	60
2	61	1	34.79371316306483	231.6286836935167	0	61
2	62	1	106.0548885077187	243.08404802744425	0	62
2	63	1	296.14159292035396	249.90796460176992	0	63
2	64	1	149.52682255845943	259.72489683631363	0	64
2	65	1	93.604	259.744	0	65
2	66	1	17.98170731707317	263.8262195121951	0	66
2	67	1	420.7257085020243	269.69838056680163	0	67
2	68	1	186.6120218579235	268.3806921675774	0	68
2	69	1	259.61965811965814	274.2692307692308	0	69
2	70	1	336.8566037735849	274.57924528301885	0	70
2	71	1	69.21491228070175	275.8377192982456	0	71
2	72	1	220.5601926163724	279.34831460674155	0	72
2	73	1	492.2583333333333	283.9033333333333	0	73
2	74	1	37.35960591133005	283.5927750410509	0	74
2	75	1	78.609900990099	295.0792079207921	0	75
2	76	1	249.55161787365176	305.26656394453005	0	76
2	77	1	272.74782608695654	308.30782608695654	0	77
2	78	1	418.2717948717949	305.8119658119658	0	78
2	79	1	355.67045454545456	312.1515151515151	0	79
2	80	1	181.76127320954907	316.12997347480103	0	80
2	81	1	131.098452883263	319.37693389592124	0	81
2	82	1	160.91062801932367	327.768115942029	0	82
2	83	1	339.45100502512565	331.65452261306535	0	83
2	84	1	381.66089965397924	328.61245674740485	0	84
2	85	1	4.655172413793103	337.176245210728	0	85
