ImageNumber	ObjectNumber	Children_Cells_Count	Children_PLA_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number
2	62	1	2	20.59090909090909	258.26446280991735	0	62
2	63	1	4	216.75402298850574	266.3080459770115	0	63
2	64	1	2	101.09375	265.2869318181818	0	64
2	65	1	4	318.6253298153034	265.85224274406335	0	65
2	66	1	1	439.46456692913387	269.38582677165357	0	66
2	67	1	0	469.5282051282051	272.2205128205128	0	67
2	68	1	0	493.8369230769231	278.7507692307692	0	68
2	69	1	0	410.7947598253275	283.0218340611354	0	69
2	70	1	8	173.6726057906459	283.5746102449889	0	70
2	71	1	2	97.14418604651163	284.51162790697674	0	71
2	72	1	1	303.9086956521739	286.1804347826087	0	72
2	73	1	0	453.0234741784038	286.15492957746477	0	73
2	74	1	1	41.89	292.8466666666667	0	74
2	75	1	1	134.53584905660378	293.0641509433962	0	75
2	76	1	1	448.51141552511416	297.9269406392694	0	76
2	77	1	2	70.37430167597765	299.51675977653633	0	77
2	78	1	1	8.216417910447761	299.32462686567163	0	78
2	79	1	5	95.2420634920635	304.68650793650795	0	79
2	80	1	1	426.8778103616813	304.5767350928641	0	80
2	81	1	2	405.4054054054054	313.8918918918919	0	81
2	82	1	4	335.0743243243243	313.77027027027026	0	82
2	83	1	1	490.6827195467422	312.8413597733711	0	83
2	84	1	3	103.11345646437995	323.4327176781003	0	84
2	85	1	4	179.05426356589146	323.5387596899225	0	85
2	86	1	2	376.7129186602871	323.07655502392345	0	86
2	87	1	3	300.5927051671733	324.1246200607903	0	87
2	88	1	1	3.6973684210526314	328.0328947368421	0	88
2	89	1	4	216.75496688741723	326.79470198675494	0	89
2	90	1	0	28.684563758389263	330.3758389261745	0	90
2	91	1	2	165.03465346534654	334.65841584158414	0	91
2	92	1	0	358.3872832369942	334.8901734104046	0	92
2	93	1	3	62.241379310344826	338.10775862068965	0	93
2	94	1	0	226.9712643678161	337.32183908045977	0	94
2	95	1	1	425.3785046728972	340.00467289719626	0	95
2	96	1	1	119.35840707964601	340.9911504424779	0	96
