ImageNumber	ObjectNumber	Children_Cells_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number
1	101	1	183.11170212765958	412.9840425531915	0	101
1	102	1	269.5665236051502	415.0772532188841	0	102
1	103	1	147.49615384615385	417.9923076923077	0	103
1	104	1	254.40552995391704	419.49769585253455	0	104
1	105	1	165.2198275862069	422.96120689655174	0	105
1	106	1	181.37890625	427.578125	0	106
1	107	1	238.5339366515837	427.6606334841629	0	107
1	108	1	287.62428842504744	430.2352941176471	0	108
1	109	1	213.93354943273906	430.20259319286873	0	109
1	110	1	253.17132867132867	435.24825174825173	0	110
1	111	1	373.725321888412	436.51502145922746	0	111
1	112	1	198.94237288135594	453.0508474576271	0	112
1	113	1	264.17551020408166	452.1387755102041	0	113
1	114	1	297.6608557844691	458.0919175911252	0	114
1	115	1	342.77814569536423	464.3675496688742	0	115
1	116	1	237.89776357827475	465.03194888178916	0	116
1	117	1	368.46176470588233	468.1088235294118	0	117
1	118	1	188.37295081967213	473.38524590163934	0	118
1	119	1	456.6	474.5134020618557	0	119
1	120	1	268.9191489361702	475.4808510638298	0	120
1	121	1	340.65676567656766	481.3399339933993	0	121
1	122	1	212.19338842975208	486.11239669421485	0	122
1	123	1	437.39154929577467	489.09859154929575	0	123
1	124	1	480.0619469026549	490.8053097345133	0	124
1	125	1	335.2406639004149	493.9751037344398	0	125
1	126	1	303.4466019417476	494.09223300970876	0	126
1	127	1	188.4326797385621	496.27450980392155	0	127
1	128	1	462.6011235955056	492.2696629213483	0	128
1	129	1	241.0756501182033	493.6241134751773	0	129
1	130	1	275.6176935229068	503.24012638230647	0	130
1	131	1	361.73267326732673	506.1732673267327	0	131
2	1	1	412.4029850746269	12.835820895522389	0	1
2	2	1	15.096654275092936	26.514869888475836	0	2
2	3	1	172.00732600732601	32.47435897435897	0	3
2	4	1	323.73728813559325	36.817796610169495	0	4
2	5	1	290.56847133757964	36.15127388535032	0	5
2	6	1	429.1733746130031	36.44272445820433	0	6
2	7	1	397.90932642487047	37.61139896373057	0	7
2	8	1	157.83984375	44.0859375	0	8
2	9	1	465.61607142857144	47.151785714285715	0	9
2	10	1	120.2927400468384	51.94379391100703	0	10
2	11	1	134.4959349593496	56.99186991869919	0	11
2	12	1	488.1551724137931	54.58620689655172	0	12
2	13	1	373.625	68.26689189189189	0	13
2	14	1	216.99084249084248	67.42673992673993	0	14
2	15	1	327.4493927125506	73.37651821862349	0	15
2	16	1	403.4036568213783	83.9043600562588	0	16
2	17	1	174.17220543806647	74.13897280966768	0	17
2	18	1	342.0913043478261	79.34782608695652	0	18
2	19	1	444.75471698113205	83.21462264150944	0	19
2	20	1	232.75211267605633	86.45915492957747	0	20
2	21	1	100.4410569105691	93.69715447154472	0	21
2	22	1	306.2931596091205	88.1270358306189	0	22
2	23	1	332.08561643835617	95.01027397260275	0	23
2	24	1	175.64356435643563	101.7887788778878	0	24
2	25	1	423.1019736842105	105.54934210526316	0	25
2	26	1	120.01190476190476	107.02380952380952	0	26
2	27	1	282.1097178683386	111.2884012539185	0	27
2	28	1	383.27272727272725	116.3881118881119	0	28
2	29	1	493.94942528735635	117.3632183908046	0	29
2	30	1	79.81282051282051	120.9076923076923	0	30
2	31	1	327.40705882352944	116.1635294117647	0	31
2	32	1	154.70218579234972	121.36065573770492	0	32
2	33	1	111.17506631299734	125.47745358090185	0	33
2	34	1	59.37	132.1425	0	34
2	35	1	357.3923611111111	133.71180555555554	0	35
2	36	1	249.112618724559	137.1506105834464	0	36
2	37	1	462.91143911439116	140.31918819188192	0	37
2	38	1	179.47627118644067	143.48305084745763	0	38
2	39	1	377.6798679867987	142.57095709570956	0	39
2	40	1	328.525	146.4857142857143	0	40
2	41	1	361.22330097087377	154.89320388349515	0	41
