ImageNumber	ObjectNumber	Children_Cells_Count	Children_PLA_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number
1	55	1	1	321.8982683982684	138.3160173160173	0	55
1	56	1	5	385.8959537572254	140.4450867052023	0	56
1	57	1	1	159.35714285714286	138.19897959183675	0	57
1	58	1	3	56.56818181818182	143.6098484848485	0	58
1	59	1	0	169.94761904761904	145.74285714285713	0	59
1	60	1	0	287.06675392670155	152.52486910994764	0	60
1	61	1	0	16.288732394366196	157.19014084507043	0	61
1	62	1	2	140.98655256723717	152.29706601466992	0	62
1	63	1	0	484.6275659824047	156.60703812316714	0	63
1	64	1	1	364.916179337232	159.40545808966863	0	64
1	65	1	1	456.875	162.58333333333334	0	65
1	66	1	1	91.29857819905213	162.260663507109	0	66
1	67	1	1	106.05496828752642	165.10993657505284	0	67
1	68	1	3	229.89381933438986	164.58161648177497	0	68
1	69	1	0	34.34905660377358	169.70754716981133	0	69
1	70	1	0	420.754	171.18	0	70
1	71	1	0	80.75800711743773	177.6387900355872	0	71
1	72	1	0	196.02923976608187	174.97368421052633	0	72
1	73	1	0	4.890243902439025	182.4268292682927	0	73
1	74	1	1	166.96408839779005	181.92265193370164	0	74
1	75	1	0	60.58644859813084	182.2032710280374	0	75
1	76	1	0	488.70031545741324	191.97160883280756	0	76
1	77	1	0	239.67337807606265	191.81208053691276	0	77
1	78	1	2	334.24449339207047	192.46696035242292	0	78
1	79	1	2	169.42814371257484	197.9251497005988	0	79
1	80	1	1	374.04957264957267	201.74188034188035	0	80
1	81	1	1	263.96881091617934	204.13060428849903	0	81
1	82	1	0	468.31065088757396	202.75147928994082	0	82
1	83	1	4	402.815625	203.8765625	0	83
1	84	1	0	22.77310924369748	208.32100840336133	0	84
1	85	1	0	304.0595744680851	210.84255319148937	0	85
1	86	1	0	6.677261613691932	210.77750611246944	0	86
1	87	1	0	249.24598930481284	218.3903743315508	0	87
1	88	1	0	53.842287694974004	216.64298093587522	0	88
1	89	1	21	140.90704225352113	218.53521126760563	0	89
1	90	1	1	209.2619589977221	222.2346241457859	0	90
1	91	1	1	171.4126984126984	222.92857142857142	0	91
1	92	1	1	451.43570057581576	226.30134357005758	0	92
1	93	1	0	271.40909090909093	232.1098484848485	0	93
1	94	1	0	469.44300518134713	231.27461139896374	0	94
1	95	1	1	106.72093023255815	231.30749354005167	0	95
1	96	1	2	158.8288043478261	235.0516304347826	0	96
1	97	1	0	136.18731117824774	239.66767371601208	0	97
1	98	1	2	75.62	238.1325	0	98
1	99	1	0	177.81770833333334	238.85416666666666	0	99
1	100	1	1	294.7069486404834	245.73413897280966	0	100
1	101	1	1	339.66075949367087	245.70126582278482	0	101
1	102	1	1	190.12396694214877	250.9944903581267	0	102
1	103	1	0	214.3783783783784	253.002457002457	0	103
1	104	1	0	373.02950819672134	252.2377049180328	0	104
1	105	1	0	55.11055276381909	258.16582914572865	0	105
1	106	1	0	499.90813648293965	266.18635170603676	0	106
1	107	1	0	442.71875	266.7867647058824	0	107
1	108	1	32	175.87868852459016	269.9016393442623	0	108
1	109	1	0	85.6682808716707	272.1670702179177	0	109
1	110	1	0	343.0865800865801	272.66883116883116	0	110
1	111	1	0	125.54065040650407	272.1321138211382	0	111
1	112	1	0	104.04103671706264	275.76889848812095	0	112
1	113	1	2	28.746268656716417	278.19651741293535	0	113
1	114	1	0	231.6468330134357	281.36660268714013	0	114
1	115	1	0	369.50493096646943	279.7573964497041	0	115
1	116	1	3	163.15	285.725	0	116
1	117	1	0	254.15384615384616	284.54907161803715	0	117
1	118	1	1	392.8447488584475	293.46118721461187	0	118
1	119	1	0	68.19953051643192	295.8380281690141	0	119
1	120	1	1	142.04918032786884	302.2950819672131	0	120
1	121	1	0	472.6269035532995	300.61167512690355	0	121
1	122	1	1	209.54	306.0875	0	122
1	123	1	1	12.160839160839162	309.1771561771562	0	123
1	124	1	0	241.19753086419752	308.41975308641975	0	124
1	125	1	0	257.64383561643837	312.2191780821918	0	125
1	126	1	2	287.29289940828403	318.2189349112426	0	126
1	127	1	4	123.85406698564593	315.4162679425837	0	127
1	128	1	4	178.8062893081761	311.7496855345912	0	128
1	129	1	0	339.07423580786025	314.5043668122271	0	129
1	130	1	0	36.71529411764706	319.3341176470588	0	130
1	131	1	0	465.90625	320.37152777777777	0	131
1	132	1	0	249.92207792207793	320.461038961039	0	132
1	133	1	0	372.7654028436019	329.24881516587675	0	133
1	134	1	15	102.61764705882354	332.2878151260504	0	134
1	135	1	0	493.57004830917873	331.6280193236715	0	135
1	136	1	0	178.50263157894736	336.0315789473684	0	136
1	137	1	3	73.60253164556963	337.1341772151899	0	137
1	138	1	1	248.46682464454977	343.4265402843602	0	138
1	139	1	0	222.7741273100616	347.07392197125256	0	139
1	140	1	0	383.60074626865674	349.9365671641791	0	140
1	141	1	0	268.87631578947367	354.5815789473684	0	141
1	142	1	0	89.0130293159609	356.4299674267101	0	142
1	143	1	0	4.734939759036145	359.6807228915663	0	143
1	144	1	0	429.48936170212767	362.5200945626477	0	144
